chamber,ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units,date,plot,sensor_soil_moisture_percent,oven_soil_moisture_percent,plant_biomass_g,plant_cover_percent,soil_temperature_c
SW 1-4,SW,1,4,n2o,3.86E-05,0.886969825,285.6,0.01012201,0.021088731,mugn-n2o_m2_d,10/19/22,SW_1,22.5,NA,54.86,20,10.4
SW 2-1,SW,2,1,n2o,-0.000163846,0.885182677,285.25,0.007588473,-0.067115445,mugn-n2o_m2_d,10/19/22,SW_2,17,NA,48.36,10,11
SW 2-2,SW,2,2,n2o,-0.001275513,0.243796863,285,0.007145104,-0.492387978,mugn-n2o_m2_d,10/19/22,SW_2,12.3,NA,48.36,5,10.5
SW 2-3,SW,2,3,n2o,0.000102266,0.711971524,285.05,0.007081765,0.03912122,mugn-n2o_m2_d,10/19/22,SW_2,21.4,NA,48.36,NA,10.8
SW 2-4,SW,2,4,n2o,-0.000100092,0.91499808,285.1,0.008538549,-0.046157586,mugn-n2o_m2_d,10/19/22,SW_2,15.7,NA,48.36,65,11.1
UP 1-1,UP,1,1,n2o,-0.000194496,0.945744634,284.7,0.009171934,-0.096481103,mugn-n2o_m2_d,10/19/22,UP_1,26.8,NA,52.51,10,10.6
UP 1-2,UP,1,2,n2o,0.002248698,0.746287563,284.85,0.009551964,1.161091,mugn-n2o_m2_d,10/19/22,UP_1,29.1,NA,52.51,15,11.1
UP 1-3,UP,1,3,n2o,-0.000721614,0.317403842,284.8,0.007968503,-0.310885291,mugn-n2o_m2_d,10/19/22,UP_1,31.1,NA,52.51,15,11.4
UP 1-4,UP,1,4,n2o,-9.82E-05,0.871115897,284.6,0.007905165,-0.041995239,mugn-n2o_m2_d,10/19/22,UP_1,23.7,NA,52.51,5,10.8
UP 2-1,UP,2,1,n2o,-0.00638584,0.08280667,284.8,0.00891858,-3.079161373,mugn-n2o_m2_d,10/19/22,UP_2,21.4,NA,52.21,10,9.9
UP 2-2,UP,2,2,n2o,-0.000591103,0.132099112,284.65,0.006765073,-0.216313377,mugn-n2o_m2_d,10/19/22,UP_2,19.4,NA,52.21,10,10.1
UP 2-3,UP,2,3,n2o,-0.000112331,0.726053816,284.85,0.008981918,-0.054539508,mugn-n2o_m2_d,10/19/22,UP_2,18.7,NA,52.21,5,10.2
UP 2-4,UP,2,4,n2o,-0.000698849,0.324848336,284.75,0.008475211,-0.320279118,mugn-n2o_m2_d,10/19/22,UP_2,20.1,NA,52.21,5,9.8
SW 1-1,SW,1,1,co2,6.758560214,0.000963213,294.15,0.006385043,0.616410308,mgc-co2_m2_d,11/2/22,SW_1,47.7,NA,NA,NA,9.6
SW 1-2,SW,1,2,co2,5.864607729,0.116685963,291.6,0.007651811,0.646601063,mgc-co2_m2_d,11/2/22,SW_1,46.3,NA,NA,NA,9.8
SW 1-3,SW,1,3,co2,6.065224194,3.92E-06,294.4,0.006955088,0.602049796,mgc-co2_m2_d,11/2/22,SW_1,46.8,NA,NA,NA,10.1
SW 1-4,SW,1,4,co2,5.449177382,0.001195391,292.55,0.01012201,0.792169899,mgc-co2_m2_d,11/2/22,SW_1,46.2,NA,NA,10,9.8
SW 2-1,SW,2,1,co2,8.212912059,0.000937032,293.65,0.007588473,0.891748304,mgc-co2_m2_d,11/2/22,SW_2,34.6,NA,NA,5,10.6
SW 2-2,SW,2,2,co2,8.312803828,0.000793129,291.25,0.007145104,0.856862001,mgc-co2_m2_d,11/2/22,SW_2,37.3,NA,NA,5,10.8
SW 2-3,SW,2,3,co2,6.057262,9.36E-05,293.7,0.007081765,0.613669664,mgc-co2_m2_d,11/2/22,SW_2,41.5,NA,NA,NA,10.4
SW 2-4,SW,2,4,co2,5.893135909,0.000893306,292.15,0.008538549,0.723678004,mgc-co2_m2_d,11/2/22,SW_2,21.3,NA,NA,35,10.6
UP 1-1,UP,1,1,co2,5.932500969,0.001241321,293.5,0.009171934,0.778953198,mgc-co2_m2_d,11/2/22,UP_1,36.3,NA,NA,NA,10.3
UP 1-2,UP,1,2,co2,5.644218838,0.00042685,291.05,0.009551964,0.778304692,mgc-co2_m2_d,11/2/22,UP_1,34.2,NA,NA,5,10.4
UP 1-3,UP,1,3,co2,8.900745466,6.11E-05,293.3,0.007968503,1.016042304,mgc-co2_m2_d,11/2/22,UP_1,37.7,NA,NA,NA,9.8
UP 1-4,UP,1,4,co2,6.349930879,0.000190278,291.95,0.007905165,0.722424039,mgc-co2_m2_d,11/2/22,UP_1,39.2,NA,NA,NA,11.1
UP 2-1,UP,2,1,co2,5.913753924,0.000402217,291.55,0.00891858,0.76009285,mgc-co2_m2_d,11/2/22,UP_2,38.1,NA,NA,NA,11
UP 2-2,UP,2,2,co2,6.716910708,0.003226091,289.2,0.006765073,0.660183256,mgc-co2_m2_d,11/2/22,UP_2,38.5,NA,NA,5,11.1
UP 2-3,UP,2,3,co2,5.000956575,0.004045325,291.65,0.008981918,0.647114185,mgc-co2_m2_d,11/2/22,UP_2,42.5,NA,NA,NA,10.9
UP 2-4,UP,2,4,co2,9.19345081,0.014395627,289.05,0.008475211,1.13260072,mgc-co2_m2_d,11/2/22,UP_2,32.9,NA,NA,5,10.4
SW 1-1,SW,1,1,ch4,-0.001430882,0.456023255,294.15,0.006385043,-0.130502708,mugc-ch4_m2_d,11/2/22,SW_1,47.7,NA,NA,NA,9.6
SW 1-2,SW,1,2,ch4,-0.010187767,0.601573483,291.6,0.007651811,-1.123250076,mugc-ch4_m2_d,11/2/22,SW_1,46.3,NA,NA,NA,9.8
SW 1-3,SW,1,3,ch4,-0.001277149,0.089037625,294.4,0.006955088,-0.126773104,mugc-ch4_m2_d,11/2/22,SW_1,46.8,NA,NA,NA,10.1
SW 1-4,SW,1,4,ch4,0.004943431,0.809778299,292.55,0.01012201,0.718647426,mugc-ch4_m2_d,11/2/22,SW_1,46.2,NA,NA,10,9.8
SW 2-1,SW,2,1,ch4,-0.004949821,0.007001761,293.65,0.007588473,-0.537445734,mugc-ch4_m2_d,11/2/22,SW_2,34.6,NA,NA,5,10.6
SW 2-2,SW,2,2,ch4,-0.014809082,0.127099015,291.25,0.007145104,-1.526481263,mugc-ch4_m2_d,11/2/22,SW_2,37.3,NA,NA,5,10.8
SW 2-3,SW,2,3,ch4,-0.005131239,0.001100562,293.7,0.007081765,-0.51985297,mugc-ch4_m2_d,11/2/22,SW_2,41.5,NA,NA,NA,10.4
SW 2-4,SW,2,4,ch4,-0.0102381,0.153916903,292.15,0.008538549,-1.257240312,mugc-ch4_m2_d,11/2/22,SW_2,21.3,NA,NA,35,10.6
UP 1-1,UP,1,1,ch4,-0.006413119,0.241251076,293.5,0.009171934,-0.842059624,mugc-ch4_m2_d,11/2/22,UP_1,36.3,NA,NA,NA,10.3
UP 1-2,UP,1,2,ch4,-0.003300859,0.04615899,291.05,0.009551964,-0.455169049,mugc-ch4_m2_d,11/2/22,UP_1,34.2,NA,NA,5,10.4
UP 1-3,UP,1,3,ch4,-0.006972291,0.022817744,293.3,0.007968503,-0.795904403,mugc-ch4_m2_d,11/2/22,UP_1,37.7,NA,NA,NA,9.8
UP 1-4,UP,1,4,ch4,-0.005221716,0.004892826,291.95,0.007905165,-0.594068348,mugc-ch4_m2_d,11/2/22,UP_1,39.2,NA,NA,NA,11.1
UP 2-1,UP,2,1,ch4,9.70E-05,0.905859027,291.55,0.00891858,0.012464694,mugc-ch4_m2_d,11/2/22,UP_2,38.1,NA,NA,NA,11
UP 2-2,UP,2,2,ch4,-0.00428173,0.068560407,289.2,0.006765073,-0.420837303,mugc-ch4_m2_d,11/2/22,UP_2,38.5,NA,NA,5,11.1
UP 2-3,UP,2,3,ch4,-0.003162754,0.064416319,291.65,0.008981918,-0.409254352,mugc-ch4_m2_d,11/2/22,UP_2,42.5,NA,NA,NA,10.9
UP 2-4,UP,2,4,ch4,0.000387792,0.938324573,289.05,0.008475211,0.047774644,mugc-ch4_m2_d,11/2/22,UP_2,32.9,NA,NA,5,10.4
SW 1-1,SW,1,1,n2o,-0.000904757,0.437579756,294.15,0.006385043,-0.302402546,mugn-n2o_m2_d,11/2/22,SW_1,47.7,NA,NA,NA,9.6
SW 1-2,SW,1,2,n2o,-0.002403503,0.533487489,291.6,0.007651811,-0.971136063,mugn-n2o_m2_d,11/2/22,SW_1,46.3,NA,NA,NA,9.8
SW 1-3,SW,1,3,n2o,0.000245442,0.3922545,294.4,0.006955088,0.089283744,mugn-n2o_m2_d,11/2/22,SW_1,46.8,NA,NA,NA,10.1
SW 1-4,SW,1,4,n2o,0.00055064,0.85424417,292.55,0.01012201,0.293354633,mugn-n2o_m2_d,11/2/22,SW_1,46.2,NA,NA,10,9.8
SW 2-1,SW,2,1,n2o,-0.000266087,0.841809304,293.65,0.007588473,-0.105878379,mugn-n2o_m2_d,11/2/22,SW_2,34.6,NA,NA,5,10.6
SW 2-2,SW,2,2,n2o,-0.00136022,0.199775357,291.25,0.007145104,-0.513819502,mugn-n2o_m2_d,11/2/22,SW_2,37.3,NA,NA,5,10.8
SW 2-3,SW,2,3,n2o,0.000622836,0.36171099,293.7,0.007081765,0.23124381,mugn-n2o_m2_d,11/2/22,SW_2,41.5,NA,NA,NA,10.4
SW 2-4,SW,2,4,n2o,-0.001029249,0.207194876,292.15,0.008538549,-0.46318786,mugn-n2o_m2_d,11/2/22,SW_2,21.3,NA,NA,35,10.6
UP 1-1,UP,1,1,n2o,-0.000689825,0.131076384,293.5,0.009171934,-0.331933046,mugn-n2o_m2_d,11/2/22,UP_1,36.3,NA,NA,NA,10.3
UP 1-2,UP,1,2,n2o,-0.000184518,0.718840324,291.05,0.009551964,-0.093244241,mugn-n2o_m2_d,11/2/22,UP_1,34.2,NA,NA,5,10.4
UP 1-3,UP,1,3,n2o,0.000319721,0.533660138,293.3,0.007968503,0.133750151,mugn-n2o_m2_d,11/2/22,UP_1,37.7,NA,NA,NA,9.8
UP 1-4,UP,1,4,n2o,-9.12E-06,0.975482834,291.95,0.007905165,-0.003801805,mugn-n2o_m2_d,11/2/22,UP_1,39.2,NA,NA,NA,11.1
UP 2-1,UP,2,1,n2o,0.001102144,0.082624436,291.55,0.00891858,0.519134395,mugn-n2o_m2_d,11/2/22,UP_2,38.1,NA,NA,NA,11
UP 2-2,UP,2,2,n2o,NA,NA,289.2,0.006765073,NA,mugn-n2o_m2_d,11/2/22,UP_2,38.5,NA,NA,5,11.1
UP 2-3,UP,2,3,n2o,0.000431245,0.516645947,291.65,0.008981918,0.204498458,mugn-n2o_m2_d,11/2/22,UP_2,42.5,NA,NA,NA,10.9
UP 2-4,UP,2,4,n2o,0.000995043,0.492595398,289.05,0.008475211,0.449239605,mugn-n2o_m2_d,11/2/22,UP_2,32.9,NA,NA,5,10.4
