genus,species,native,n,fraction,year,plot
schizachyrium,scoparium,1,1,0.005,1984,NA
sorghastrum,nutans,1,1,0.005,1984,NA
vitis,riparia,1,1,0.005,1984,NA
antennaria,neglecta,1,1,0.005,1987,NA
apios,americana,1,1,0.005,1987,NA
asclepias,incarnata,1,1,0.005,1987,NA
asclepias,verticillata,1,1,0.005,1987,NA
bromus,inermis,0,1,0.005,1987,NA
cirsium,arvense,0,1,0.005,1987,NA
cirsium,vulgare,0,1,0.005,1987,NA
coreopsis,tripteris,1,1,0.005,1987,NA
dalea,candida,1,1,0.005,1987,NA
desmodium,canadense,1,1,0.005,1987,NA
eleocharis,palustris,1,1,0.005,1987,NA
fallopia,convolvulus,0,1,0.005,1987,NA
glyceria,striata,1,1,0.005,1987,NA
hordeum,jubatum,0,1,0.005,1987,NA
hypericum,punctatum,1,1,0.005,1987,NA
lepidium,virginicum,1,1,0.005,1987,NA
leucanthemum,vulgare,0,1,0.005,1987,NA
lysimachia,ciliata,1,1,0.005,1987,NA
melilotus,sp.,0,1,0.005,1987,NA
nabalus,sp.,1,1,0.005,1987,NA
oenothera,perennis,1,1,0.005,1987,NA
oxalis,violacea,1,1,0.005,1987,NA
oxypolis,rigidior,1,1,0.005,1987,NA
phlox,paniculata,0,1,0.005,1987,NA
plantago,major,0,1,0.005,1987,NA
poa,sp.,0,1,0.005,1987,NA
polygonum,sp.,1,1,0.005,1987,NA
rosa,multiflora,0,1,0.005,1987,NA
sambucus,nigra ssp. canadensis,1,1,0.005,1987,NA
scirpus,cyperinus,1,1,0.005,1987,NA
scutellaria,sp.,1,1,0.005,1987,NA
solidago,juncea,1,1,0.005,1987,NA
sphenopholis,obtusata,1,1,0.005,1987,NA
stellaria,media,0,1,0.005,1987,NA
symphyotrichum,oolentangiense,1,1,0.005,1987,NA
trifolium,repens,0,1,0.005,1987,NA
vitis,riparia,1,1,0.005,1987,NA
acalypha,rhomboidea,1,1,0.005,1995,NA
alliaria,petiolata,0,1,0.005,1995,NA
arnoglossum,plantagineum,1,1,0.005,1995,NA
baptisia,alba var. macrophylla,1,1,0.005,1995,NA
carex,bicknellii,1,1,0.005,1995,NA
carex,pensylvanica,1,1,0.005,1995,NA
celtis,occidentalis,1,1,0.005,1995,NA
dichanthelium,acuminatum,1,1,0.005,1995,NA
eleocharis,erythropoda,1,1,0.005,1995,NA
euthamia,graminifolia,1,1,0.005,1995,NA
heuchera,richardsonii,1,1,0.005,1995,NA
iris,virginica var. shrevei,1,1,0.005,1995,NA
juncus,torreyi,1,1,0.005,1995,NA
koeleria,macrantha,1,1,0.005,1995,NA
krigia,biflora,1,1,0.005,1995,NA
lactuca,canadensis,1,1,0.005,1995,NA
lathyrus,palustris,1,1,0.005,1995,NA
lonicera,tatarica,0,1,0.005,1995,NA
mentha,arvensis,1,1,0.005,1995,NA
nepeta,cataria,0,1,0.005,1995,NA
pedicularis,canadensis,1,1,0.005,1995,NA
persicaria,maculosa,0,1,0.005,1995,NA
physalis,longifolia,1,1,0.005,1995,NA
plantago,rugelii,1,1,0.005,1995,NA
polygonum,aviculare,0,1,0.005,1995,NA
potentilla,norvegica,1,1,0.005,1995,NA
psoralidium,tenuiflorum,1,1,0.005,1995,NA
rhus,hirta,1,1,0.005,1995,NA
rubus,pensilvanicus,1,1,0.005,1995,NA
sambucus,nigra ssp. canadensis,1,1,0.005,1995,NA
senecio,hieraciifolius,1,1,0.005,1995,NA
solanum,americanum,1,1,0.005,1995,NA
sonchus,asper,0,1,0.005,1995,NA
stachys,pilosa,1,1,0.005,1995,NA
ulmus,americana,1,1,0.005,1995,NA
ulmus,pumila,0,1,0.005,1995,NA
ulmus,rubra,1,1,0.005,1995,NA
vinca,minor,0,1,0.005,1995,NA
allium,canadense,1,1,0.004,2005,NA
arnoglossum,plantagineum,1,1,0.004,2005,NA
baptisia,bracteata,1,1,0.004,2005,NA
bromus,kalmii,1,1,0.004,2005,NA
carex,brevior,1,1,0.004,2005,NA
carex,tetanica,1,1,0.004,2005,NA
coreopsis,tripteris,1,1,0.004,2005,NA
crataegus,mollis,1,1,0.004,2005,NA
echinacea,purpurea,1,1,0.004,2005,NA
erigeron,strigosus,1,1,0.004,2005,NA
fallopia,convolvulus,0,1,0.004,2005,NA
gentiana,alba,1,1,0.004,2005,NA
hieracium,caespitosum,0,1,0.004,2005,NA
juncus,dudleyi,1,1,0.004,2005,NA
juniperus,virginiana,1,1,0.004,2005,NA
lepidium,campestre,0,1,0.004,2005,NA
potentilla,norvegica,1,1,0.004,2005,NA
rorippa,palustris,1,1,0.004,2005,NA
rosa,multiflora,0,1,0.004,2005,NA
sambucus,nigra ssp. canadensis,1,1,0.004,2005,NA
senecio,hieraciifolius,1,1,0.004,2005,NA
solanum,dulcamara,0,1,0.004,2005,NA
sonchus,asper,0,1,0.004,2005,NA
sorghastrum,nutans,1,1,0.004,2005,NA
sporobolus,compositus,0,1,0.004,2005,NA
acalypha,rhomboidea,NA,1,0.004,2020,L10
acer,saccharinum,NA,1,0.004,2020,A17
acer,saccharinum,NA,1,0.004,2020,C15
acer,saccharinum,NA,1,0.004,2020,K7
acer,saccharinum,NA,1,0.004,2020,L12
achillea,millefolium,NA,1,0.004,2020,A19
achillea,millefolium,NA,1,0.004,2020,B23
achillea,millefolium,NA,1,0.004,2020,C13
achillea,millefolium,NA,1,0.004,2020,C6
achillea,millefolium,NA,1,0.004,2020,C7
achillea,millefolium,NA,1,0.004,2020,E11
achillea,millefolium,NA,1,0.004,2020,E15
achillea,millefolium,NA,1,0.004,2020,F17
achillea,millefolium,NA,1,0.004,2020,G15
achillea,millefolium,NA,1,0.004,2020,G4
achillea,millefolium,NA,1,0.004,2020,G7
achillea,millefolium,NA,1,0.004,2020,H1
achillea,millefolium,NA,1,0.004,2020,H11
achillea,millefolium,NA,1,0.004,2020,H12
achillea,millefolium,NA,1,0.004,2020,H13
achillea,millefolium,NA,1,0.004,2020,H14
achillea,millefolium,NA,1,0.004,2020,H7
achillea,millefolium,NA,1,0.004,2020,H9
achillea,millefolium,NA,1,0.004,2020,I19
achillea,millefolium,NA,1,0.004,2020,I3
achillea,millefolium,NA,1,0.004,2020,I4
achillea,millefolium,NA,1,0.004,2020,I5
achillea,millefolium,NA,1,0.004,2020,I8
achillea,millefolium,NA,1,0.004,2020,J11
achillea,millefolium,NA,1,0.004,2020,J3
achillea,millefolium,NA,1,0.004,2020,J4
achillea,millefolium,NA,1,0.004,2020,J6
achillea,millefolium,NA,1,0.004,2020,J7
achillea,millefolium,NA,1,0.004,2020,J8
achillea,millefolium,NA,1,0.004,2020,J9
achillea,millefolium,NA,1,0.004,2020,K10
achillea,millefolium,NA,1,0.004,2020,L7
allium,cernuum,NA,1,0.004,2020,C13
allium,cernuum,NA,1,0.004,2020,E13
allium,cernuum,NA,1,0.004,2020,E14
allium,cernuum,NA,1,0.004,2020,H14
ambrosia,trifida,NA,1,0.004,2020,A13
amorpha,canescens,NA,1,0.004,2020,B5
amorpha,canescens,NA,1,0.004,2020,E12
amorpha,canescens,NA,1,0.004,2020,F14
amorpha,canescens,NA,1,0.004,2020,F15
amorpha,canescens,NA,1,0.004,2020,F16
amorpha,canescens,NA,1,0.004,2020,F3
amorpha,canescens,NA,1,0.004,2020,G4
amorpha,canescens,NA,1,0.004,2020,G5
amorpha,canescens,NA,1,0.004,2020,H5
amorpha,canescens,NA,1,0.004,2020,J10
andropogon,gerardii,NA,1,0.004,2020,B2
andropogon,gerardii,NA,1,0.004,2020,B3
andropogon,gerardii,NA,1,0.004,2020,E13
andropogon,gerardii,NA,1,0.004,2020,E2
andropogon,gerardii,NA,1,0.004,2020,E3
andropogon,gerardii,NA,1,0.004,2020,F1
andropogon,gerardii,NA,1,0.004,2020,F3
andropogon,gerardii,NA,1,0.004,2020,G10
andropogon,gerardii,NA,1,0.004,2020,G16
andropogon,gerardii,NA,1,0.004,2020,G7
andropogon,gerardii,NA,1,0.004,2020,G9
andropogon,gerardii,NA,1,0.004,2020,H1
andropogon,gerardii,NA,1,0.004,2020,H11
andropogon,gerardii,NA,1,0.004,2020,H12
andropogon,gerardii,NA,1,0.004,2020,H3
andropogon,gerardii,NA,1,0.004,2020,H7
andropogon,gerardii,NA,1,0.004,2020,I19
anemone,cylindrica,NA,1,0.004,2020,C2
anemone,cylindrica,NA,1,0.004,2020,H1
anemone,cylindrica,NA,1,0.004,2020,H7
anemone,cylindrica,NA,1,0.004,2020,I5
anemone,cylindrica,NA,1,0.004,2020,I6
anemone,cylindrica,NA,1,0.004,2020,I7
antennaria,neglecta,NA,1,0.004,2020,G8
antennaria,neglecta,NA,1,0.004,2020,J5
antennaria,neglecta,NA,1,0.004,2020,J6
apios,americana,NA,1,0.004,2020,H16
apios,americana,NA,1,0.004,2020,K12
apios,americana,NA,1,0.004,2020,K9
apios,americana,NA,1,0.004,2020,L12
apocynum,cannabinum,NA,1,0.004,2020,E12
apocynum,cannabinum,NA,1,0.004,2020,E17
apocynum,cannabinum,NA,1,0.004,2020,E8
apocynum,cannabinum,NA,1,0.004,2020,E9
apocynum,cannabinum,NA,1,0.004,2020,F11
apocynum,cannabinum,NA,1,0.004,2020,F12
apocynum,cannabinum,NA,1,0.004,2020,F18
apocynum,cannabinum,NA,1,0.004,2020,F9
apocynum,cannabinum,NA,1,0.004,2020,G12
apocynum,cannabinum,NA,1,0.004,2020,G13
apocynum,cannabinum,NA,1,0.004,2020,I12
apocynum,cannabinum,NA,1,0.004,2020,I14
arctium,lappa,NA,1,0.004,2020,L2
arctium,lappa,NA,1,0.004,2020,L5
arctium,lappa,NA,1,0.004,2020,L6
arnoglossum,plantagineum,NA,1,0.004,2020,C3
arnoglossum,plantagineum,NA,1,0.004,2020,E7
asclepias,syriaca,NA,1,0.004,2020,G13
asclepias,syriaca,NA,1,0.004,2020,H12
asclepias,syriaca,NA,1,0.004,2020,I15
asclepias,syriaca,NA,1,0.004,2020,J15
asclepias,syriaca,NA,1,0.004,2020,K3
asclepias,syriaca,NA,1,0.004,2020,K8
asclepias,syriaca,NA,1,0.004,2020,L7
atriplex,patula,NA,1,0.004,2020,A17
atriplex,patula,NA,1,0.004,2020,A3
baptisia,bracteata,NA,1,0.004,2020,C6
bromus,kalmii,NA,1,0.004,2020,C1
bromus,kalmii,NA,1,0.004,2020,C2
calamagrostis,canadensis,NA,1,0.004,2020,B10
calamagrostis,canadensis,NA,1,0.004,2020,B19
calamagrostis,canadensis,NA,1,0.004,2020,B20
calamagrostis,canadensis,NA,1,0.004,2020,B4
calamagrostis,canadensis,NA,1,0.004,2020,B9
calamagrostis,canadensis,NA,1,0.004,2020,C10
calamagrostis,canadensis,NA,1,0.004,2020,C21
calamagrostis,canadensis,NA,1,0.004,2020,C22
calamagrostis,canadensis,NA,1,0.004,2020,C9
calamagrostis,canadensis,NA,1,0.004,2020,D10
calamagrostis,canadensis,NA,1,0.004,2020,D7
calamagrostis,canadensis,NA,1,0.004,2020,D8
calamagrostis,canadensis,NA,1,0.004,2020,D9
calamagrostis,canadensis,NA,1,0.004,2020,E18
calamagrostis,canadensis,NA,1,0.004,2020,E5
calamagrostis,canadensis,NA,1,0.004,2020,E7
calamagrostis,canadensis,NA,1,0.004,2020,E8
calamagrostis,canadensis,NA,1,0.004,2020,E9
calamagrostis,canadensis,NA,1,0.004,2020,F10
calamagrostis,canadensis,NA,1,0.004,2020,F11
calamagrostis,canadensis,NA,1,0.004,2020,F12
calamagrostis,canadensis,NA,1,0.004,2020,F13
calamagrostis,canadensis,NA,1,0.004,2020,F19
calamagrostis,canadensis,NA,1,0.004,2020,F5
calamagrostis,canadensis,NA,1,0.004,2020,F6
calamagrostis,canadensis,NA,1,0.004,2020,F8
calamagrostis,canadensis,NA,1,0.004,2020,F9
calamagrostis,canadensis,NA,1,0.004,2020,G10
calamagrostis,canadensis,NA,1,0.004,2020,G11
calamagrostis,canadensis,NA,1,0.004,2020,G12
calamagrostis,canadensis,NA,1,0.004,2020,G13
calamagrostis,canadensis,NA,1,0.004,2020,G19
calamagrostis,canadensis,NA,1,0.004,2020,G20
calamagrostis,canadensis,NA,1,0.004,2020,G21
calamagrostis,canadensis,NA,1,0.004,2020,I8
calamagrostis,canadensis,NA,1,0.004,2020,K12
calamagrostis,canadensis,NA,1,0.004,2020,L10
calystegia,sepium,NA,1,0.004,2020,A13
calystegia,sepium,NA,1,0.004,2020,A19
calystegia,sepium,NA,1,0.004,2020,E5
calystegia,sepium,NA,1,0.004,2020,F12
calystegia,sepium,NA,1,0.004,2020,G11
calystegia,sepium,NA,1,0.004,2020,I14
calystegia,sepium,NA,1,0.004,2020,I15
calystegia,sepium,NA,1,0.004,2020,K11
calystegia,sepium,NA,1,0.004,2020,K2
calystegia,sepium,NA,1,0.004,2020,K3
calystegia,sepium,NA,1,0.004,2020,K7
calystegia,sepium,NA,1,0.004,2020,K8
calystegia,sepium,NA,1,0.004,2020,K9
calystegia,sepium,NA,1,0.004,2020,L1
calystegia,sepium,NA,1,0.004,2020,L2
calystegia,sepium,NA,1,0.004,2020,L3
calystegia,sepium,NA,1,0.004,2020,L5
calystegia,sepium,NA,1,0.004,2020,L7
calystegia,sepium,NA,1,0.004,2020,L8
calystegia,sepium,NA,1,0.004,2020,L9
carex,brevior,NA,1,0.004,2020,A22
carex,brevior,NA,1,0.004,2020,D8
carex,brevior,NA,1,0.004,2020,K2
carex,pellita,NA,1,0.004,2020,A10
carex,pellita,NA,1,0.004,2020,A4
carex,pellita,NA,1,0.004,2020,A7
carex,pellita,NA,1,0.004,2020,A9
carex,pellita,NA,1,0.004,2020,B10
carex,pellita,NA,1,0.004,2020,B11
carex,pellita,NA,1,0.004,2020,B12
carex,pellita,NA,1,0.004,2020,B13
carex,pellita,NA,1,0.004,2020,B15
carex,pellita,NA,1,0.004,2020,B16
carex,pellita,NA,1,0.004,2020,B17
carex,pellita,NA,1,0.004,2020,B18
carex,pellita,NA,1,0.004,2020,B19
carex,pellita,NA,1,0.004,2020,B24
carex,pellita,NA,1,0.004,2020,B4
carex,pellita,NA,1,0.004,2020,B5
carex,pellita,NA,1,0.004,2020,B7
carex,pellita,NA,1,0.004,2020,B8
carex,pellita,NA,1,0.004,2020,C11
carex,pellita,NA,1,0.004,2020,C12
carex,pellita,NA,1,0.004,2020,C13
carex,pellita,NA,1,0.004,2020,C14
carex,pellita,NA,1,0.004,2020,C15
carex,pellita,NA,1,0.004,2020,C16
carex,pellita,NA,1,0.004,2020,C2
carex,pellita,NA,1,0.004,2020,C22
carex,pellita,NA,1,0.004,2020,C23
carex,pellita,NA,1,0.004,2020,C3
carex,pellita,NA,1,0.004,2020,C4
carex,pellita,NA,1,0.004,2020,C5
carex,pellita,NA,1,0.004,2020,C6
carex,pellita,NA,1,0.004,2020,C7
carex,pellita,NA,1,0.004,2020,C8
carex,pellita,NA,1,0.004,2020,D1
carex,pellita,NA,1,0.004,2020,D11
carex,pellita,NA,1,0.004,2020,D12
carex,pellita,NA,1,0.004,2020,D13
carex,pellita,NA,1,0.004,2020,D14
carex,pellita,NA,1,0.004,2020,D15
carex,pellita,NA,1,0.004,2020,D16
carex,pellita,NA,1,0.004,2020,D18
carex,pellita,NA,1,0.004,2020,D2
carex,pellita,NA,1,0.004,2020,D21
carex,pellita,NA,1,0.004,2020,D3
carex,pellita,NA,1,0.004,2020,D4
carex,pellita,NA,1,0.004,2020,D5
carex,pellita,NA,1,0.004,2020,D6
carex,pellita,NA,1,0.004,2020,D7
carex,pellita,NA,1,0.004,2020,D8
carex,pellita,NA,1,0.004,2020,D9
carex,pellita,NA,1,0.004,2020,E1
carex,pellita,NA,1,0.004,2020,E10
carex,pellita,NA,1,0.004,2020,E11
carex,pellita,NA,1,0.004,2020,E12
carex,pellita,NA,1,0.004,2020,E14
carex,pellita,NA,1,0.004,2020,E15
carex,pellita,NA,1,0.004,2020,E16
carex,pellita,NA,1,0.004,2020,E2
carex,pellita,NA,1,0.004,2020,E3
carex,pellita,NA,1,0.004,2020,E4
carex,pellita,NA,1,0.004,2020,E5
carex,pellita,NA,1,0.004,2020,E6
carex,pellita,NA,1,0.004,2020,E7
carex,pellita,NA,1,0.004,2020,F1
carex,pellita,NA,1,0.004,2020,F10
carex,pellita,NA,1,0.004,2020,F11
carex,pellita,NA,1,0.004,2020,F13
carex,pellita,NA,1,0.004,2020,F14
carex,pellita,NA,1,0.004,2020,F15
carex,pellita,NA,1,0.004,2020,F16
carex,pellita,NA,1,0.004,2020,F2
carex,pellita,NA,1,0.004,2020,F3
carex,pellita,NA,1,0.004,2020,F4
carex,pellita,NA,1,0.004,2020,F5
carex,pellita,NA,1,0.004,2020,F6
carex,pellita,NA,1,0.004,2020,F7
carex,pellita,NA,1,0.004,2020,G1
carex,pellita,NA,1,0.004,2020,G10
carex,pellita,NA,1,0.004,2020,G11
carex,pellita,NA,1,0.004,2020,G14
carex,pellita,NA,1,0.004,2020,G15
carex,pellita,NA,1,0.004,2020,G16
carex,pellita,NA,1,0.004,2020,G2
carex,pellita,NA,1,0.004,2020,G3
carex,pellita,NA,1,0.004,2020,G4
carex,pellita,NA,1,0.004,2020,G6
carex,pellita,NA,1,0.004,2020,G7
carex,pellita,NA,1,0.004,2020,G8
carex,pellita,NA,1,0.004,2020,G9
carex,pellita,NA,1,0.004,2020,H1
carex,pellita,NA,1,0.004,2020,H11
carex,pellita,NA,1,0.004,2020,H12
carex,pellita,NA,1,0.004,2020,H15
carex,pellita,NA,1,0.004,2020,H16
carex,pellita,NA,1,0.004,2020,H2
carex,pellita,NA,1,0.004,2020,H20
carex,pellita,NA,1,0.004,2020,H3
carex,pellita,NA,1,0.004,2020,H4
carex,pellita,NA,1,0.004,2020,H6
carex,pellita,NA,1,0.004,2020,H7
carex,pellita,NA,1,0.004,2020,H8
carex,pellita,NA,1,0.004,2020,I1
carex,pellita,NA,1,0.004,2020,I10
carex,pellita,NA,1,0.004,2020,I11
carex,pellita,NA,1,0.004,2020,I12
carex,pellita,NA,1,0.004,2020,I13
carex,pellita,NA,1,0.004,2020,I14
carex,pellita,NA,1,0.004,2020,I15
carex,pellita,NA,1,0.004,2020,I2
carex,pellita,NA,1,0.004,2020,I4
carex,pellita,NA,1,0.004,2020,I5
carex,pellita,NA,1,0.004,2020,I6
carex,pellita,NA,1,0.004,2020,I7
carex,pellita,NA,1,0.004,2020,I9
carex,pellita,NA,1,0.004,2020,J1
carex,pellita,NA,1,0.004,2020,J11
carex,pellita,NA,1,0.004,2020,J12
carex,pellita,NA,1,0.004,2020,J2
carex,pellita,NA,1,0.004,2020,J3
carex,pellita,NA,1,0.004,2020,J4
carex,pellita,NA,1,0.004,2020,J5
carex,pellita,NA,1,0.004,2020,J6
carex,pellita,NA,1,0.004,2020,J8
carex,pellita,NA,1,0.004,2020,J9
carex,pellita,NA,1,0.004,2020,K1
carex,pellita,NA,1,0.004,2020,K10
carex,pellita,NA,1,0.004,2020,K11
carex,pellita,NA,1,0.004,2020,K12
carex,pellita,NA,1,0.004,2020,K2
carex,pellita,NA,1,0.004,2020,K3
carex,pellita,NA,1,0.004,2020,K4
carex,pellita,NA,1,0.004,2020,K5
carex,pellita,NA,1,0.004,2020,K6
carex,pellita,NA,1,0.004,2020,K7
carex,pellita,NA,1,0.004,2020,K8
carex,pellita,NA,1,0.004,2020,K9
carex,pellita,NA,1,0.004,2020,L1
carex,pellita,NA,1,0.004,2020,L2
carex,pellita,NA,1,0.004,2020,L4
carex,pellita,NA,1,0.004,2020,L5
carex,stricta,NA,1,0.004,2020,B9
carex,stricta,NA,1,0.004,2020,C10
carex,stricta,NA,1,0.004,2020,C17
carex,stricta,NA,1,0.004,2020,C18
carex,stricta,NA,1,0.004,2020,C19
carex,stricta,NA,1,0.004,2020,C20
carex,stricta,NA,1,0.004,2020,C21
carex,stricta,NA,1,0.004,2020,D10
carex,stricta,NA,1,0.004,2020,D17
carex,stricta,NA,1,0.004,2020,D18
carex,stricta,NA,1,0.004,2020,D19
carex,stricta,NA,1,0.004,2020,D21
carex,stricta,NA,1,0.004,2020,D22
carex,stricta,NA,1,0.004,2020,D9
carex,stricta,NA,1,0.004,2020,E17
carex,stricta,NA,1,0.004,2020,E18
carex,stricta,NA,1,0.004,2020,E22
carex,stricta,NA,1,0.004,2020,E8
carex,stricta,NA,1,0.004,2020,E9
carex,stricta,NA,1,0.004,2020,F12
carex,stricta,NA,1,0.004,2020,F18
carex,stricta,NA,1,0.004,2020,F20
carex,stricta,NA,1,0.004,2020,F21
carex,stricta,NA,1,0.004,2020,F9
carex,stricta,NA,1,0.004,2020,G21
cicuta,maculata,NA,1,0.004,2020,A23
cicuta,maculata,NA,1,0.004,2020,G19
cirsium,arvense,NA,1,0.004,2020,L11
cirsium,discolor,NA,1,0.004,2020,A2
cirsium,discolor,NA,1,0.004,2020,B23
cirsium,discolor,NA,1,0.004,2020,B3
cirsium,discolor,NA,1,0.004,2020,C15
cirsium,discolor,NA,1,0.004,2020,D13
cirsium,discolor,NA,1,0.004,2020,E15
cirsium,discolor,NA,1,0.004,2020,F17
cirsium,discolor,NA,1,0.004,2020,H5
cirsium,discolor,NA,1,0.004,2020,K1
cirsium,discolor,NA,1,0.004,2020,K6
comandra,umbellata,NA,1,0.004,2020,A1
comandra,umbellata,NA,1,0.004,2020,B13
comandra,umbellata,NA,1,0.004,2020,B16
comandra,umbellata,NA,1,0.004,2020,B17
comandra,umbellata,NA,1,0.004,2020,B18
comandra,umbellata,NA,1,0.004,2020,B19
comandra,umbellata,NA,1,0.004,2020,B20
comandra,umbellata,NA,1,0.004,2020,B23
comandra,umbellata,NA,1,0.004,2020,B5
comandra,umbellata,NA,1,0.004,2020,B6
comandra,umbellata,NA,1,0.004,2020,C11
comandra,umbellata,NA,1,0.004,2020,C13
comandra,umbellata,NA,1,0.004,2020,C2
comandra,umbellata,NA,1,0.004,2020,C23
comandra,umbellata,NA,1,0.004,2020,C3
comandra,umbellata,NA,1,0.004,2020,C4
comandra,umbellata,NA,1,0.004,2020,C5
comandra,umbellata,NA,1,0.004,2020,C6
comandra,umbellata,NA,1,0.004,2020,C7
comandra,umbellata,NA,1,0.004,2020,C8
comandra,umbellata,NA,1,0.004,2020,D12
comandra,umbellata,NA,1,0.004,2020,D16
comandra,umbellata,NA,1,0.004,2020,D5
comandra,umbellata,NA,1,0.004,2020,D6
comandra,umbellata,NA,1,0.004,2020,D7
comandra,umbellata,NA,1,0.004,2020,E11
comandra,umbellata,NA,1,0.004,2020,E13
comandra,umbellata,NA,1,0.004,2020,E2
comandra,umbellata,NA,1,0.004,2020,E3
comandra,umbellata,NA,1,0.004,2020,E7
comandra,umbellata,NA,1,0.004,2020,F11
comandra,umbellata,NA,1,0.004,2020,F14
comandra,umbellata,NA,1,0.004,2020,F15
comandra,umbellata,NA,1,0.004,2020,F2
comandra,umbellata,NA,1,0.004,2020,G1
comandra,umbellata,NA,1,0.004,2020,G10
comandra,umbellata,NA,1,0.004,2020,G5
comandra,umbellata,NA,1,0.004,2020,H10
comandra,umbellata,NA,1,0.004,2020,H11
comandra,umbellata,NA,1,0.004,2020,H4
comandra,umbellata,NA,1,0.004,2020,H5
comandra,umbellata,NA,1,0.004,2020,H6
comandra,umbellata,NA,1,0.004,2020,H8
comandra,umbellata,NA,1,0.004,2020,H9
comandra,umbellata,NA,1,0.004,2020,I10
comandra,umbellata,NA,1,0.004,2020,I5
comandra,umbellata,NA,1,0.004,2020,I6
comandra,umbellata,NA,1,0.004,2020,I8
comandra,umbellata,NA,1,0.004,2020,I9
comandra,umbellata,NA,1,0.004,2020,J11
comandra,umbellata,NA,1,0.004,2020,J2
comandra,umbellata,NA,1,0.004,2020,J9
comandra,umbellata,NA,1,0.004,2020,K3
comandra,umbellata,NA,1,0.004,2020,K4
comandra,umbellata,NA,1,0.004,2020,K5
coreopsis,palmata,NA,1,0.004,2020,B1
coreopsis,palmata,NA,1,0.004,2020,B12
coreopsis,palmata,NA,1,0.004,2020,B13
coreopsis,palmata,NA,1,0.004,2020,B2
coreopsis,palmata,NA,1,0.004,2020,B5
coreopsis,palmata,NA,1,0.004,2020,B6
coreopsis,palmata,NA,1,0.004,2020,C1
coreopsis,palmata,NA,1,0.004,2020,C2
coreopsis,palmata,NA,1,0.004,2020,C5
coreopsis,palmata,NA,1,0.004,2020,C6
coreopsis,palmata,NA,1,0.004,2020,C7
coreopsis,palmata,NA,1,0.004,2020,D1
coreopsis,palmata,NA,1,0.004,2020,D12
coreopsis,palmata,NA,1,0.004,2020,D13
coreopsis,palmata,NA,1,0.004,2020,D14
coreopsis,palmata,NA,1,0.004,2020,D15
coreopsis,palmata,NA,1,0.004,2020,D2
coreopsis,palmata,NA,1,0.004,2020,D3
coreopsis,palmata,NA,1,0.004,2020,D6
coreopsis,palmata,NA,1,0.004,2020,D7
coreopsis,palmata,NA,1,0.004,2020,E1
coreopsis,palmata,NA,1,0.004,2020,E11
coreopsis,palmata,NA,1,0.004,2020,E12
coreopsis,palmata,NA,1,0.004,2020,E13
coreopsis,palmata,NA,1,0.004,2020,E14
coreopsis,palmata,NA,1,0.004,2020,E15
coreopsis,palmata,NA,1,0.004,2020,E2
coreopsis,palmata,NA,1,0.004,2020,F1
coreopsis,palmata,NA,1,0.004,2020,F14
coreopsis,palmata,NA,1,0.004,2020,F15
coreopsis,palmata,NA,1,0.004,2020,F16
coreopsis,palmata,NA,1,0.004,2020,F3
coreopsis,palmata,NA,1,0.004,2020,F4
coreopsis,palmata,NA,1,0.004,2020,G16
coreopsis,palmata,NA,1,0.004,2020,G2
coreopsis,palmata,NA,1,0.004,2020,G3
coreopsis,palmata,NA,1,0.004,2020,G4
coreopsis,palmata,NA,1,0.004,2020,G5
coreopsis,palmata,NA,1,0.004,2020,G6
coreopsis,palmata,NA,1,0.004,2020,G7
coreopsis,palmata,NA,1,0.004,2020,G8
coreopsis,palmata,NA,1,0.004,2020,H4
coreopsis,palmata,NA,1,0.004,2020,H5
coreopsis,palmata,NA,1,0.004,2020,H6
coreopsis,palmata,NA,1,0.004,2020,H7
coreopsis,palmata,NA,1,0.004,2020,H8
coreopsis,palmata,NA,1,0.004,2020,H9
coreopsis,palmata,NA,1,0.004,2020,I4
coreopsis,palmata,NA,1,0.004,2020,I5
coreopsis,palmata,NA,1,0.004,2020,I6
coreopsis,palmata,NA,1,0.004,2020,I7
coreopsis,palmata,NA,1,0.004,2020,I8
coreopsis,palmata,NA,1,0.004,2020,I9
coreopsis,palmata,NA,1,0.004,2020,J10
coreopsis,palmata,NA,1,0.004,2020,J4
coreopsis,palmata,NA,1,0.004,2020,J5
coreopsis,palmata,NA,1,0.004,2020,J6
coreopsis,palmata,NA,1,0.004,2020,J8
coreopsis,palmata,NA,1,0.004,2020,J9
coreopsis,tripteris,NA,1,0.004,2020,J7
coreopsis,tripteris,NA,1,0.004,2020,K4
cornus,racemosa,NA,1,0.004,2020,A12
cornus,racemosa,NA,1,0.004,2020,A9
cornus,racemosa,NA,1,0.004,2020,B17
cornus,racemosa,NA,1,0.004,2020,B18
cornus,racemosa,NA,1,0.004,2020,B23
cornus,racemosa,NA,1,0.004,2020,B24
cornus,racemosa,NA,1,0.004,2020,C13
cornus,racemosa,NA,1,0.004,2020,D11
cornus,racemosa,NA,1,0.004,2020,D16
cornus,racemosa,NA,1,0.004,2020,D7
cornus,racemosa,NA,1,0.004,2020,E14
cornus,racemosa,NA,1,0.004,2020,E7
cornus,racemosa,NA,1,0.004,2020,F1
cornus,racemosa,NA,1,0.004,2020,F15
cornus,racemosa,NA,1,0.004,2020,G12
cornus,racemosa,NA,1,0.004,2020,G15
cornus,racemosa,NA,1,0.004,2020,G6
cornus,racemosa,NA,1,0.004,2020,G7
cornus,racemosa,NA,1,0.004,2020,H12
